RunNumber,GuessTillWin,Word
1,3331,warrior
2,2266,norm
3,2242,string
4,2226,gross
5,1595,surprisingly
6,149,basis
7,2717,technology
8,3332,peak
9,2725,set
10,1927,stress
11,1291,cow
12,1601,recent
13,4169,assert
14,1314,feedback
15,4224,republican
16,622,investment
17,193,harsh
18,3414,sustainable
19,143,thin
20,776,correct
21,2470,personally
22,2910,preparation
23,2512,panel
24,798,tennis
25,1492,penalty
26,1987,rumor
27,1484,able
28,4124,affect
29,130,compromise
30,1428,development
31,4203,doctor
32,2362,breast
33,2424,wall
34,4060,slice
35,1488,coordinate
36,963,via
37,1043,publisher
38,585,questionnaire
39,1576,sofa
40,3154,globe
41,3719,complaint
42,1959,enjoy
43,2690,perceived
44,2791,youth
45,471,passion
46,1809,stick
47,955,plus
48,3911,servant
49,3992,branch
50,2926,nation
51,1099,clearly
52,3386,substantial
53,500,federal
54,1456,painter
55,899,hate
56,748,squeeze
57,3687,deploy
58,139,cross
59,3440,entirely
60,3866,waist
61,2519,economist
62,3214,aisle
63,2971,broad
64,4147,uncomfortable
65,3537,include
66,2654,associate
67,3139,signal
68,3261,accuracy
69,3994,urban
70,1243,shelter
71,1279,news
72,2822,connection
73,829,monster
74,548,traffic
75,2231,parish
76,2529,gap
77,3743,layer
78,1354,Olympic
79,2639,wrong
80,2798,magic
81,296,local
82,2073,enemy
83,4071,telephone
84,3682,crew
85,420,legend
86,1897,search
87,2358,mass
88,189,seminar
89,454,forehead
90,2462,idea
91,319,simple
92,1412,flexibility
93,3987,rhythm
94,3598,payment
95,2913,nationwide
96,94,occasionally
97,785,imagine
98,14,ally
99,920,regular
100,3837,calculate
101,2978,city
102,3623,sweater
103,710,however
104,913,shrimp
105,992,acceptance
106,1968,win
107,4128,consumer
108,1995,rare
109,1262,manipulate
110,2836,ought
111,738,principle
112,2335,bishop
113,2804,wealth
114,4210,priority
115,196,rib
116,1996,good
117,3642,potentially
118,3590,helicopter
119,1587,match
120,1371,organ
121,1561,pistol
122,3060,outfit
123,3379,structural
124,2575,know
125,3070,delay
126,1376,visit
127,1703,departure
128,2755,use
129,602,burn
130,2055,married
131,2127,wind
132,3501,ruling
133,1917,color
134,3489,reward
135,879,Irish
136,560,debt
137,2638,merit
138,2270,cheese
139,2501,rope
140,2393,series
141,4161,hesitate
142,4004,wife
143,3915,timing
144,906,impact
145,3092,experimental
146,3133,always
147,2341,closed
148,3944,handful
149,1130,depict
150,1075,size
151,244,accurately
152,2129,scale
153,2038,interrupt
154,1390,practical
155,3076,reaction
156,106,repeatedly
157,2678,tall
158,2793,import
159,2699,worry
160,2925,group
161,545,artist
162,1425,prevent
163,3928,pose
164,3519,biology
165,1411,situation
166,3800,revolutionary
167,1690,acid
168,1004,organization
169,3959,due
170,1664,gay
171,663,trouble
172,2169,administrator
173,2370,hidden
174,385,tunnel
175,3021,wound
176,1702,blade
177,838,everybody
178,914,sleeve
179,3091,elect
180,2499,pop
181,1326,imagination
182,291,little
183,2473,alternative
184,820,wheat
185,2477,regularly
186,3266,immigration
187,2628,installation
188,4226,otherwise
189,2691,minute
190,3633,smooth
191,3176,opposition
192,2481,jeans
193,664,healthy
194,1040,overall
195,4008,Dutch
196,323,distract
197,247,street
198,3963,officially
199,2984,ash
200,4133,guidance
201,3881,modern
202,718,joke
203,2044,researcher
204,592,tomorrow
205,2315,ambassador
206,589,college
207,1336,blank
208,1369,experienced
209,112,observation
210,2568,strategy
211,3607,heavy
212,2310,window
213,3896,drunk
214,2751,helmet
215,280,commission
216,2806,isolation
217,3525,sort
218,2895,unfair
219,1549,everywhere
220,801,senior
221,2186,surveillance
222,3111,ticket
223,3097,strain
224,1036,atmosphere
225,1380,permanent
226,2152,club
227,3932,regarding
228,990,beginning
229,889,considerable
230,1858,edit
231,2881,jazz
232,2887,argument
233,2328,seller
234,1444,personnel
235,1790,lesson
236,3117,wait
237,1514,confrontation
238,3859,commitment
239,3868,despite
240,3882,bless
241,1128,politics
242,2363,tender
243,1062,companion
244,2295,competitive
245,3683,sing
246,3732,encourage
247,1260,shoe
248,2163,legislature
249,2876,among
250,4208,foot
251,132,leader
252,654,reach
253,217,end
254,3018,meal
255,158,dirt
256,2672,restrict
257,166,fade
258,2579,discuss
259,325,fragile
260,1134,evidence
261,2041,shut
262,3209,top
263,222,education
264,1950,decrease
265,1889,install
266,3418,language
267,540,envelope
268,3761,confuse
269,4162,unity
270,731,disability
271,3828,reporter
272,435,establish
