Elastic modulus	Materials science, Mechanics
ISO 3166-1	ISO 3166, Lists of countries, Country codes
Lira da braccio	String instruments, Early musical instruments
Atlas (missile)	Engineering, Rockets
Flag of Dominican Republic	Dominican Republic, National flags
Southampton	Unitary authorities, Southampton, Ports and harbours of the United Kingdom
Lhasa Apso	Dog breeds
States and territories of Australia	States and territories of Australia, Australia
The Rocky and Bullwinkle Show	Animated television series, Comedy television series, 1950s television series, 1960s television series
Jimmy Finlayson	1887 births, 1953 deaths, Scottish movie actors, American comedians, American movie actors
Body mass index	Fitness
Middle age	Society
Tribute	Taxation, Musical terminology
Brandy (singer)	1979 births, Living people, Actors from Mississippi, African American actors, African-American singers, American movie actors, American R&B musicians, American singer-songwriters, American television actors, Brandy Norwood, Dancing with the Stars participants, Grammy Award winners, Singers from Mississippi
Kew Gardens	Buildings and structures in London, World Heritage Sites in the United Kingdom, Botanical gardens in the United Kingdom
Yo Gabba Gabba!	2007 American television series debuts, 2015 American television series endings, 2000s American television series, 2000s children's television series, 2010s American television series, 2010s children's television series, American children's television series, Nickelodeon television series, English-language television programs
Post (album)	Björk albums, 1995 albums
Landscape	Geography, Geology, Ecology
Dell	1984 establishments in the United States, 1980s establishments in Texas, American technology companies, Companies based in Texas
Svartahrid	Black metal bands, Norwegian heavy metal bands
Marcel Marceau	1923 births, 2007 deaths, French actors, French entertainers, French Jews, Jewish actors, Legion of Honour, Mimes, People from Strasbourg, Burials at Père Lachaise Cemetery
Bugs Bunny	Looney Tunes characters, Fictional hares and rabbits, Fictional characters introduced in the 1930s
Kaz II mystery	Ships, 2000s in Australia, 2007
The Simpsons shorts	The Simpsons
James L. Brooks	1940 births, Living people, American movie directors, American screenwriters, Emmy Award winners, Writers from New York City
Wi-Fi	Computer networking
Digital Object Identifier	Documents
Encyclopaedia Metallum	Entertainment websites, Heavy metal
Tropical Depression Ten (2007)	Hurricanes in the United States, Tropical depressions, 2007 Atlantic hurricane season, September events, 2007 in Florida, 2007 in Georgia (U.S. state), 2000s in Alabama
Software piracy	Copyright, Software
Bionicle	Lego, DC Comics
