RunNumber,GuessTillWin,Word
1,2936,warrior
2,1530,norm
3,3251,string
4,3081,gross
5,1741,surprisingly
6,4004,basis
7,1323,technology
8,1115,peak
9,205,set
10,3130,stress
11,3622,cow
12,36,recent
13,3893,assert
14,3485,feedback
15,2367,republican
16,118,investment
17,2699,harsh
18,1237,sustainable
19,3937,thin
20,3528,correct
21,2710,personally
22,2522,preparation
23,834,panel
24,2442,tennis
25,478,penalty
26,692,rumor
27,196,able
28,1926,affect
29,2900,compromise
30,3503,development
31,869,doctor
32,2098,breast
33,4168,wall
34,1740,slice
35,1889,coordinate
36,851,via
37,3892,publisher
38,3489,questionnaire
39,576,sofa
40,3286,globe
41,3983,complaint
42,1542,enjoy
43,341,perceived
44,2260,youth
45,682,passion
46,2576,stick
47,2973,plus
48,2737,servant
49,3527,branch
50,649,nation
51,1078,clearly
52,371,substantial
53,3678,federal
54,2102,painter
55,810,hate
56,675,squeeze
57,1063,deploy
58,2508,cross
59,1998,entirely
60,1232,waist
61,881,economist
62,4025,aisle
63,1389,broad
64,1326,uncomfortable
65,3519,include
66,2606,associate
67,131,signal
68,307,accuracy
69,3023,urban
70,2334,shelter
71,520,news
72,4202,connection
73,3464,monster
74,2633,traffic
75,1161,parish
76,417,gap
77,1573,layer
78,1236,Olympic
79,909,wrong
80,3053,magic
81,2153,local
82,4005,enemy
83,1398,telephone
84,2316,crew
85,3988,legend
86,1595,search
87,3806,mass
88,3110,seminar
89,110,forehead
90,2946,idea
91,2819,simple
92,1486,flexibility
93,2768,rhythm
94,1800,payment
95,2883,nationwide
96,1177,occasionally
97,1342,imagine
98,3429,ally
99,1208,regular
100,1246,calculate
101,3526,city
102,2824,sweater
103,1028,however
104,3913,shrimp
105,422,acceptance
106,1600,win
107,2488,consumer
108,3450,rare
109,1637,manipulate
110,690,ought
111,1146,principle
112,157,bishop
113,1958,wealth
114,714,priority
115,1388,rib
116,92,good
117,1170,potentially
118,1632,helicopter
119,2616,match
120,344,organ
121,3167,pistol
122,3919,outfit
123,2620,structural
124,3822,know
125,8,delay
126,3068,visit
127,296,departure
128,2670,use
129,3470,burn
130,242,married
131,2850,wind
132,2048,ruling
133,4070,color
134,2163,reward
135,4141,Irish
136,1443,debt
137,2933,merit
138,2486,cheese
139,1281,rope
140,274,series
141,3261,hesitate
142,2654,wife
143,1605,timing
144,3641,impact
145,1023,experimental
146,1576,always
