RunNumber,GuessTillWin,Word
1,1282,warrior
2,3960,norm
3,1300,string
4,847,gross
5,1390,surprisingly
6,2837,basis
7,2328,technology
8,1424,peak
9,964,set
10,3847,stress
11,4161,cow
12,2509,recent
13,1974,assert
14,64,feedback
15,1445,republican
16,85,investment
17,3291,harsh
18,1561,sustainable
19,1263,thin
20,1168,correct
21,2647,personally
22,3208,preparation
23,3015,panel
24,1515,tennis
25,2331,penalty
26,2466,rumor
27,3668,able
28,2421,affect
29,1911,compromise
30,313,development
31,2671,doctor
32,1045,breast
33,1644,wall
34,274,slice
35,2513,coordinate
36,2976,via
37,2919,publisher
38,549,questionnaire
39,145,sofa
40,3674,globe
41,640,complaint
42,4027,enjoy
43,919,perceived
44,2885,youth
45,3425,passion
46,3753,stick
47,742,plus
48,836,servant
49,4227,branch
50,2189,nation
51,2750,clearly
52,2287,substantial
53,1943,federal
54,2069,painter
55,2656,hate
56,3422,squeeze
57,2058,deploy
58,3570,cross
59,675,entirely
60,3001,waist
61,981,economist
62,768,aisle
63,581,broad
64,3752,uncomfortable
65,4148,include
66,2611,associate
67,3501,signal
68,687,accuracy
69,902,urban
70,1913,shelter
71,3404,news
72,2015,connection
73,607,monster
74,1921,traffic
75,1425,parish
76,1762,gap
77,3912,layer
78,3453,Olympic
79,1682,wrong
80,2980,magic
81,1950,local
82,584,enemy
83,429,telephone
84,3694,crew
85,718,legend
86,1388,search
87,1394,mass
88,3401,seminar
89,3046,forehead
90,1486,idea
91,3282,simple
92,1599,flexibility
93,3022,rhythm
94,3125,payment
95,1966,nationwide
96,1367,occasionally
97,1881,imagine
98,382,ally
99,3392,regular
100,2070,calculate
101,498,city
102,983,sweater
103,898,however
104,370,shrimp
105,1239,acceptance
106,3087,win
107,1437,consumer
108,528,rare
109,4155,manipulate
110,2747,ought
111,255,principle
112,3351,bishop
113,3194,wealth
114,605,priority
115,2741,rib
116,2028,good
117,1447,potentially
118,2424,helicopter
119,1865,match
120,396,organ
121,2572,pistol
122,3813,outfit
123,2817,structural
124,1285,know
125,846,delay
126,1997,visit
127,1922,departure
128,2013,use
129,2899,burn
130,3826,married
131,237,wind
132,2621,ruling
133,1618,color
134,3775,reward
135,1879,Irish
136,2220,debt
137,3199,merit
138,3383,cheese
139,230,rope
140,1994,series
141,1756,hesitate
142,433,wife
143,492,timing
144,1127,impact
145,774,experimental
146,2212,always
147,1904,closed
148,3414,handful
149,524,depict
150,2314,size
151,3264,accurately
152,2785,scale
153,1235,interrupt
154,124,practical
155,1859,reaction
156,3270,repeatedly
157,1356,tall
158,2738,import
159,3273,worry
160,2776,group
161,2795,artist
162,321,prevent
163,3040,pose
164,1946,biology
165,1208,situation
166,1341,revolutionary
167,4015,acid
168,1440,organization
169,3402,due
170,939,gay
171,3325,trouble
172,3740,administrator
173,3891,hidden
174,3977,tunnel
175,3059,wound
176,1018,blade
177,2371,everybody
178,2339,sleeve
179,3715,elect
180,2848,pop
181,886,imagination
182,2574,little
183,4093,alternative
184,1134,wheat
185,3263,regularly
186,3879,immigration
187,1328,installation
188,269,otherwise
189,629,minute
190,33,smooth
191,3185,opposition
192,2359,jeans
193,387,healthy
194,3417,overall
195,2377,Dutch
196,905,distract
197,2659,street
198,3028,officially
199,580,ash
200,113,guidance
201,2985,modern
202,1175,joke
203,2224,researcher
204,3966,tomorrow
205,4104,ambassador
206,2650,college
207,966,blank
208,1427,experienced
209,1219,observation
210,4095,strategy
211,1505,heavy
212,4217,window
213,4152,drunk
214,418,helmet
215,4065,commission
216,2553,isolation
217,2991,sort
218,1355,unfair
219,1526,everywhere
220,2638,senior
221,2870,surveillance
222,391,ticket
223,2344,strain
224,1130,atmosphere
225,1188,permanent
226,2098,club
227,2399,regarding
228,3258,beginning
229,3230,considerable
230,3863,edit
231,2048,jazz
232,1572,argument
233,1983,seller
234,3500,personnel
235,2445,lesson
236,3158,wait
237,2369,confrontation
238,1439,commitment
239,2862,despite
240,3507,bless
241,326,politics
242,4086,tender
243,1275,companion
244,2429,competitive
245,3212,sing
246,3356,encourage
247,4076,shoe
248,2470,legislature
249,3112,among
250,2022,foot
251,1557,leader
252,1990,reach
253,3130,end
254,1431,meal
255,3684,dirt
256,1167,restrict
257,937,fade
258,2945,discuss
259,160,fragile
260,1006,evidence
261,849,shut
262,262,top
263,3371,education
264,2440,decrease
265,4090,install
266,2903,language
267,2367,envelope
268,1091,confuse
269,3931,unity
270,3858,disability
271,93,reporter
272,2239,establish
273,595,funny
274,3224,instance
275,1306,poor
276,1788,southern
277,2544,valid
278,296,wipe
279,2567,beam
280,288,night
281,2124,three
282,1242,confusion
283,245,guy
284,1116,chip
285,1547,bend
286,3861,son
287,3704,identity
288,2570,initiative
289,3618,minority
290,1508,explode
291,3571,nightmare
292,2986,smart
293,797,unfold
294,4149,fame
295,909,blink
296,4174,instead
297,2122,unlikely
298,3279,mind
299,3350,fragment
300,731,movement
301,1714,conflict
302,3836,chill
303,3043,concentrate
304,1510,distribute
305,2594,war
306,2107,plate
307,2914,go
308,2746,collapse
309,2403,cancer
310,242,bedroom
311,1519,radio
312,295,pin
313,2186,artistic
314,1605,truly
315,2859,somebody
316,601,official
317,3893,mine
318,3431,hot
319,559,smoke
320,2299,assign
321,2120,ok
322,723,bathroom
323,1743,northwest
324,1212,clinical
325,72,pleasant
326,2417,chunk
327,3659,supermarket
328,3072,prescription
329,1996,territory
330,372,intense
331,3084,breeze
332,2944,book
333,1223,aircraft
334,3476,international
335,613,realistic
336,1668,laundry
337,894,recall
338,3412,wish
339,1019,illusion
340,2030,reinforce
341,639,wine
342,2193,dam
343,834,sometime
344,231,quit
345,80,stimulate
346,1957,criteria
347,4186,freely
348,2010,efficient
349,2847,category
350,3236,lifestyle
351,3505,angle
352,3136,announcement
353,1428,define
354,3463,cage
355,3047,aggressive
356,110,utility
357,2268,sphere
358,1822,discover
359,1574,conservation
360,2179,district
361,4115,reference
362,2794,whatever
363,2562,possible
364,339,gather
365,235,spell
366,2948,moreover
367,2889,wrist
368,2894,living
369,2675,fortunately
370,4113,topic
371,1189,plastic
372,4050,commonly
373,1205,flower
374,1451,policeman
375,2752,ground
376,1353,besides
377,3480,discussion
378,960,complain
379,3036,disc
380,3456,must
381,3362,mathematics
382,3218,inherent
383,2228,fraction
384,889,page
385,2426,mentor
386,4035,epidemic
387,2145,leather
388,1550,labor
389,651,diamond
390,567,convert
391,817,witness
392,3289,final
393,1412,deck
394,1377,tomato
395,2244,imply
396,1065,secret
397,3082,reply
398,531,consume
399,2669,command
400,252,coordinator
401,935,democracy
