Boeing Model 40	Boeing aircraft
Ray Benson	1951 births, Living people, Singers from Philadelphia, Pennsylvania, Musicians from Philadelphia, Pennsylvania, American guitarists, American country musicians, Grammy Award winners, People from Galveston, Texas
Holger Juul Hansen	1924 births, 2013 deaths, Danish movie actors, Danish television actors, Deaths from natural causes, Danish stage actors
Marty Allen	1922 births, 2018 deaths, Deaths from pneumonia, Jewish American actors, Comedians from Pennsylvania, American movie actors, American television actors, American stage actors, American voice actors, American radio actors, American television personalities, American radio personalities, Actors from Pittsburgh, Pennsylvania
Robin Stjernberg	1991 births, Living people, Pop musicians, Swedish singers
Eurovision Song Contest 2013	2013 in Sweden, 2013 in music, Eurovision Song Contest, Malmo
Adjustment disorder	Mental illnesses
Rik Wilson	1962 births, 2016 deaths, American Hockey League players, American ice hockey players, Boston Bruins players, Calgary Flames players, Central Professional Hockey League players, Chicago Blackhawks players, International Hockey League (1945–2001) players, Ontario Hockey League players, People from Long Beach, California, Sportspeople from California, St. Louis Blues players, Ice hockey defencemen
Valerie Mahaffey	American television actors, Actors from Texas, 1953 births, Living people, Emmy Award winning actors
PaRappa the Rapper	Music video games, 1996 video games, PlayStation games, PlayStation Portable games
Powell River, British Columbia	Cities in British Columbia
Reactive attachment disorder	Mental illnesses
Teresa of Ávila	1515 births, 1582 deaths, Christian mystics, Christian saints, Spanish Roman Catholics, Spanish writers
Charles Baudelaire	1821 births, 1867 deaths, French poets
Alienware	Technology companies
Peggy Ann Garner	American child actors, Actors from Ohio, 1932 births, 1984 deaths
Honeymoon in Vegas	1992 romance movies, 1992 comedy movies, 1990s romantic comedy movies, English-language movies, American romantic comedy movies
Simply Irresistible	1999 romance movies, 1990s romantic comedy movies, 1999 comedy-drama movies, 1990s fantasy-comedy movies, 1990s romantic drama movies, American comedy-drama movies, American fantasy-comedy movies, American romantic comedy movies, American romantic drama movies, English-language movies
Back to the Known	Bad Religion albums, Punk albums, 1985 albums
List of genetic disorders	Science-related lists, Genetic disorders
Chancel	Church architecture
Salal	Ericaceae
Fitts's law	Computer science
Deron Quint	American ice hockey players, Sportspeople from New Hampshire, Chicago Blackhawks players, Columbus Blue Jackets players, Living people, New Jersey Devils players, New York Islanders players, Phoenix Coyotes players, Winnipeg Jets (1979–96) players, 1976 births, American Hockey League players, Ice hockey defencemen
The Wanted	2009 establishments in the United Kingdom, 2000s British music groups, 2010s British music groups, British boy bands, Musical quintets
Shapley Supercluster	Galaxy clusters
Jake Bugg	1994 births, Living people, English singer-songwriters, Entertainers from Nottingham, Musicians from Nottinghamshire
Mario & Sonic at the Olympic Games	Mario video games, Sonic the Hedgehog games, Sports video games, Wii games, Nintendo DS games, 2007 video games
Altınyazı, Mucur	Settlements in Turkey
Polisario Front	Western Sahara, Nationalist organizations in Africa, National liberation movements, Rebel militia groups in Africa, 1970s establishments in Africa
Edward G. Robinson	1893 births, 1973 deaths, Deaths from bladder cancer, Naturalized citizens of the United States, American movie actors, American television actors, American voice actors, American stage actors, American radio actors, Jewish American actors, Actors from New York City, Academy Award Honorary Award winners, People from Bucharest
Carole Lombard	1908 births, 1942 deaths, Actors from Indiana, American movie actors, American radio actors, American stage actors, American television actors, Aviation deaths in the United States, People from Fort Wayne, Indiana
Empire Records	1990s romantic comedy movies, 1995 movies, English-language movies, American independent movies
June Lockhart	American television actors, American stage actors, 1925 births, Living people
Jane Withers	American television actors, American movie actors, American child actors, 1926 births, 2021 deaths, Actors from Atlanta, Georgia
John Dingell	1926 births, 2019 deaths, Deaths from prostate cancer, Cancer deaths in Michigan, Deans of the United States House of Representatives, United States representatives from Michigan, Politicians from Colorado, US Democratic Party politicians, People from Colorado Springs, Colorado, 20th-century American politicians, 21st-century American politicians
C. Aubrey Smith	1863 births, 1946 deaths, Deaths from pneumonia, Silent movie actors, English movie actors, English stage actors, English radio actors, English cricketers, Actors from London
Millennium Force	Roller coasters by name, Roller coasters in Ohio, 2000 establishments in the United States
Marjorie Lord	American television actors, American movie actors, American stage actors, Actors from San Francisco, 1918 births, Living people
Carol Alt	American television actors, Models from New York City, Actors from New York City, 1960 births, Living people
Susanne Lothar	1960 births, 2012 deaths, German movie actors, German stage actors, German television actors, Actors from Hamburg
Sora (Kingdom Hearts)	Fictional characters introduced in 2002, Kingdom Hearts characters, Superheroes, Video game characters
Nintendo World Store	Buildings and structures in Manhattan, Nintendo, 2005 establishments in New York (state)
