RunNumber,GuessTillWin,Word
1,720,warrior
2,3074,norm
3,1573,string
4,764,gross
5,3748,surprisingly
6,1416,basis
7,2193,technology
8,947,peak
9,1423,set
10,3283,stress
11,1324,cow
12,2774,recent
13,4011,assert
14,3650,feedback
15,2206,republican
16,453,investment
17,3240,harsh
18,1398,sustainable
19,1841,thin
20,1530,correct
21,2143,personally
22,1744,preparation
23,2629,panel
24,786,tennis
25,2417,penalty
26,1707,rumor
27,1809,able
28,259,affect
29,3753,compromise
30,3941,development
31,3012,doctor
32,4013,breast
33,3041,wall
34,266,slice
35,1060,coordinate
36,3265,via
37,1836,publisher
38,3760,questionnaire
39,3550,sofa
40,196,globe
41,1499,complaint
42,3827,enjoy
43,3535,perceived
44,3068,youth
45,353,passion
46,1103,stick
47,3093,plus
48,863,servant
49,1480,branch
50,1773,nation
51,1509,clearly
52,1108,substantial
53,1037,federal
54,707,painter
55,375,hate
56,3790,squeeze
57,3461,deploy
58,2805,cross
59,466,entirely
60,245,waist
61,3155,economist
62,4207,aisle
63,3509,broad
64,4081,uncomfortable
65,1902,include
66,2081,associate
67,2396,signal
68,1917,accuracy
69,1549,urban
70,857,shelter
71,883,news
72,2367,connection
73,4005,monster
74,1751,traffic
75,1898,parish
76,3962,gap
77,2403,layer
78,706,Olympic
79,147,wrong
80,674,magic
81,3747,local
82,801,enemy
83,3160,telephone
84,1080,crew
85,2754,legend
86,1735,search
87,1329,mass
88,1698,seminar
89,551,forehead
90,1871,idea
91,3731,simple
92,1748,flexibility
93,159,rhythm
94,4212,payment
95,4205,nationwide
96,2558,occasionally
97,3397,imagine
98,149,ally
99,901,regular
100,1043,calculate
101,244,city
102,2688,sweater
103,479,however
104,2504,shrimp
105,3875,acceptance
106,2180,win
107,4083,consumer
108,1016,rare
109,3075,manipulate
110,2638,ought
111,2635,principle
112,1693,bishop
113,1920,wealth
114,197,priority
115,3381,rib
116,866,good
117,4072,potentially
118,2860,helicopter
119,3774,match
120,3902,organ
121,1958,pistol
122,2399,outfit
123,710,structural
124,3597,know
125,1239,delay
126,2541,visit
127,1309,departure
128,2807,use
129,1021,burn
130,4052,married
131,4137,wind
132,3880,ruling
133,702,color
134,1994,reward
135,2567,Irish
136,3327,debt
137,2605,merit
138,585,cheese
139,3366,rope
140,3094,series
141,1001,hesitate
142,3099,wife
143,2156,timing
144,2962,impact
145,209,experimental
146,2586,always
147,2095,closed
148,1657,handful
149,3224,depict
150,2359,size
151,43,accurately
152,473,scale
153,3104,interrupt
154,325,practical
155,1642,reaction
156,1993,repeatedly
157,337,tall
158,1618,import
159,2993,worry
160,3973,group
161,1658,artist
162,2708,prevent
163,1444,pose
164,2871,biology
165,1111,situation
166,2515,revolutionary
167,698,acid
168,3823,organization
169,323,due
170,2302,gay
171,2340,trouble
172,1219,administrator
173,1096,hidden
174,2314,tunnel
175,644,wound
176,1107,blade
177,3926,everybody
178,1478,sleeve
179,481,elect
180,1337,pop
181,3852,imagination
182,8,little
183,1826,alternative
184,3485,wheat
185,540,regularly
186,2680,immigration
187,3215,installation
188,3173,otherwise
189,2243,minute
190,3863,smooth
191,1144,opposition
192,580,jeans
193,1270,healthy
194,1874,overall
195,4059,Dutch
196,3691,distract
197,3375,street
198,1519,officially
199,451,ash
200,959,guidance
201,3533,modern
202,4040,joke
203,45,researcher
204,1741,tomorrow
205,87,ambassador
206,1818,college
207,2326,blank
208,3362,experienced
209,819,observation
210,1718,strategy
211,1927,heavy
212,2808,window
213,1305,drunk
214,2137,helmet
215,3712,commission
216,3815,isolation
217,329,sort
218,2585,unfair
219,2856,everywhere
220,688,senior
221,1469,surveillance
222,3537,ticket
223,3273,strain
224,3150,atmosphere
225,2926,permanent
226,528,club
227,2160,regarding
228,2052,beginning
229,2731,considerable
230,3467,edit
231,3610,jazz
232,3637,argument
